,marathi,rating,english
518,मला एक आवाज आला,0,I got a voice
519,मी पण तो ऐकला,0,But I heard it
520,मला ते जस्ट सापडलं,1,I just found that out
521,तू टॉम ला तर ओळखतच असशील,0,You know Tom
522,मी तिला ओळखतो,0,I know her
523,मी कोण आहे माहित आहे का?,0,Do you know who I am?
524,मला कार्टून आवडतात,1,I love cartoons
525,तू माझ्यासोबत पिक्चर बघायला येशील का?,1,Will you go see the picture with me?
526,मला भांडायला आवडतं,0,I like to argue
527,मला डान्स आवडतो,1,I love dance
528,मी खूप वेग वेगळे डान्स करू शकतो,1,I can dance very differently
529,स्वप्न पाहणे हा माझा छंद आहे,1,My dream is to dream
530,मी जपान मध्ये राहतो,0,I live in Japan
531,मी टॉम सारखा दिसतो,0,I look like Tom
532,माझा फोन कुठेतरी हरवला,-1,I lost my phone somewhere
533,माझं वॉलेट पण हरवला,-1,I lost my wallet
534,मला शिकायला आवडतं,1,I like to learn
535,मला शिकवायला पण आवडतं,1,I love to teach but also
536,मला लेखनाची आवड आहे,1,I love writing
537,मला एक पेन्सिल देतेस का?,0,Can you give me a pencil?
538,मी हेल्मेट घेऊन येतो,0,I bring a helmet
539,मला तुझी एक हेल्प हविये,0,I&#39;d like a help from you
540,मी तुझा कैदी आहे,-1,I am your prisoner
541,सोड मला इथून जाऊ दे,-1,Leave me here
542,मी बिल भरतो,1,I pay the bills
543,मला फुटबॉल आवडते,1,I love football
544,मी टेनिस खेळायचो,0,I used to play tennis
545,मला कॉफी जास्त आवडते,1,I love coffee more
546,मी रोज पाळतो ट्रेडमिल वर,0,I follow the treadmill everyday
547,मला पळायला आवडतं,1,I like to run
548,मी त्याला नंगा पाहिलं,-1,I saw him naked
549,जिम मध्ये तो नागडा फिरतो,-1,In the gym he walks naked
550,मी दिवसभर झोपलो मस्त पैकी,1,I slept all day long
551,मला चिकन च वास येतोय,0,I smell chicken
552,मी इंग्लिश बोलतो,0,I speak english
553,मला इंग्लिश लिहिता देखील येते,0,I also write English
554,इतिहास माझा जिवलग विषय आहे,1,History is my personal subject
555,मी ते पुस्तक हरवलं,-1,I lost that book
556,मी तुझी बाजू मान्य करतो,1,I agree with your side
557,मी मदत करायचा प्रयत्न केला देखील,1,I also tried to help
558,मला एक वकील हवाय,0,I&#39;d like a lawyer
559,मला थोडा चहा मिळेल का?,0,May I have some tea?
560,ती सुंदर बॅग माझीच आहे,0,That beautiful bag belongs to me
561,मला स्वप्नात नाचायचे,0,I used to dance in a dream
562,मला झोप आलिये,0,I got sleep
563,मला तुझ्याशी काहीतरी बोलायचं आहे,0,I want to talk to you about something
564,मला तू परत हवी आहेस,1,I want you back
565,मला तू परत हवा आहेस,1,I want you back
566,मी अजून तुझ्यावर प्रेम करतो,1,I still love you
567,मी अजून तुझ्यावर प्रेम करते,1,I still love you
568,मी सैनिक आहे,0,I&#39;m a soldier
569,मी सैनिक होतो,0,I was a soldier
570,मी एक टीचर देखील होतो,0,I was also a teacher
571,मला फाईटिंग येते,1,I love Fighting
572,मी मार्शल आर्ट चॅम्पियन आहे,1,I am a martial arts champion
573,माझ्यावर हल्ला झाला,-1,I was attacked
574,मी तर गाडीत होतो,0,I was in the car
575,ट्रेन ने जायला हवं होतं,0,Had to go by train
576,मी शॉपिंग ला चाललोय उद्या,0,I&#39;m going shopping tomorrow
577,शॉपिंग ने माझं मन हलकं होतं,1,Shopping made my mind light up
578,मी कथा लिहितो,0,I write stories
579,मला गोष्टी लिहायला मजा येते,1,I enjoy writing things
580,मला हॉरोर नाही आवडत,-1,I hate Horror
581,हॉरोर फार घान आहे,-1,Horror is very Ghana
582,मी दहा वाजता येतो,0,I arrive at ten o&#39;clock
583,मला थोडा उशीर होईल,-1,I&#39;ll be a little late
584,मी दमलो खूप,0,I&#39;m tired
585,मी खूप थकलोय,0,I&#39;m so tired
586,मी नाही करू शकत ते,-1,I can&#39;t do that
587,मी तुझा नौकर नाहीये,-1,I&#39;m not your servant
588,मी एक इंजिनिअर आहे बरं का,1,Well I&#39;m an engineer why
589,मी पोलिस झालो!,1,I&#39;m a cop!
590,मी तुला फोन लावतो,0,I call you
591,मला काहीच घाई नाहीये,0,I&#39;m in no hurry
592,मी नुस्तं विचारलं,0,I just asked
593,मी जाऊ तुला सोडून?,0,Can i leave you
594,नको जाऊस मला सोडून,0,Don&#39;t want to leave me
595,मी रडेन तू गेलीस तर,-1,I will cry if you go
596,मी रडेन तू गेलास तर,-1,I will cry if you go
597,मी काय चोर वाटतो तुला?,-1,What do you think I am a thief?
598,तू माझ्यावर चोरी चा आढ घेतोय,-1,You&#39;re trying to steal from me
599,मी भांडत नाहीये,0,I&#39;m not arguing
600,मी तुला मारून इथेच गाडेन,-1,I&#39;ll kill you and bury you here
601,मी अजून जिवंत आहे,0,I&#39;m still alive
602,मला तर लाजच वाटते,0,I&#39;m ashamed
603,मला खूप भूक लागली आहे,0,I&#39;m so hungry
604,मला काही खायला मिळेल का?,0,Can I have something to eat?
605,अरे वाह! किती गोड आहे हा चहा,1,Oh wow How sweet is this tea
606,मी तुझा आभारी आहे,1,I thank you
607,तू अॅक्टर आहेस का?,0,Are you an actor
608,हो मी एक कलावंत आहे,0,Yes I am an artist
609,तुझ्या स्वप्नात आलेलो का मी?,0,Did i come to your dream
610,इथे कोणी आहे का?,0,Anyone here?
611,तिथे कोणी लपलाय का?,0,Is anyone hiding there?
612,चल ना दारू पाजतो तुला,0,Let&#39;s not get drunk
613,नको मी मध्यपान नाही करत,1,"No, I&#39;m not drinking"
614,तो श्वास घेतोय का? का मला!,0,Is he breathing? Why me!
615,बातमी गोड आहे,1,The news is sweet
616,बातमी वाईट आहे,-1,The news is bad
617,बातमी काय आहे सांगशील??,0,What is the news?
618,हे खूप लहान आहे का?,0,Is it too small?
619,ती काय जपानी आहे का?,0,Is she Japanese?
620,तो कुठला पक्षी आहे?,0,What bird is that?
621,तो कुठला प्राणी आहे?,0,What animal is that?
622,तो पक्षी किती रुबाबदार आहे,1,How cute is that bird
623,तो वाघ किती भारी आहे,1,How heavy is that tiger
624,तुझ्याकडे क्रेडिट कार्ड आहे का?,0,Do you have a credit card
625,मला कार्ड हवं आहे,0,I&#39;d like a card
626,ती बँक सर्वात छान आहे,1,That bank is the coolest
627,ती बँक सर्वात घान आहे,-1,That bank is the most Ghanaian
628,मला एक छान गाणं ऐकव,1,Tell me a nice song
629,तू तुझं तोंड काळं कर,-1,You make your mouth black
630,तू घरात कुठून आला?,0,Where did you come from
631,मी तुला बाहेर काढेन,-1,I&#39;ll take you out
632,तू किती निर्लज्ज आहे,-1,How shameless are you
633,तुला दुसरं काहीच काम नाही का?,0,Do you have anything else to do?
634,असं विचित्र का वागतोय?,0,Why are you acting so strange?
635,सासू पेक्षा सून श्रेष्ठ,1,Soon better than mother-in-law
636,सूने पेक्षा सासू बिनडोक,-1,Mother-in-law Binodoc than Sune
637,त्याने खूप मेहनत केली,1,He worked very hard
638,शॉपिंग केली तर खर्च होतो,0,Shopping costs money
639,आजकालच्या मुव्हीज खूप बोरिंग आहे,-1,Movies nowadays are very boring
640,मला ते तसच हवंय,0,That&#39;s what I want
641,आपण फार लहान आहोत,0,We are too young
642,सांग मला मी काय करू,0,Tell me what I will do
643,मी तुझा मुलगा आहे का?,0,Am i your son
644,मला आवडेल तुला आई म्हणायला,1,I&#39;d love to call you a mother
645,तू ती इमारत बनवलीस का?,0,Did you make that building?
646,फार उचं आहे ती इमारत,0,The building is very high
647,ती सोसायटी तर एकदम श्रीमंत आहे,1,That society is very rich
648,तू राहायला कुठे आहेस?,0,Where are you staying
649,आला रे आला!,0,"Come on, come on!"
650,सचिन माझा फेवरेट आहे,1,Sachin is my favorite
651,मला क्रिकेट फार आवडतं,1,I like cricket very much
652,फुटबॉल तर माझी जान आहे,1,Football is my life
653,तुला अजुन कुठले खेळ आवडतात?,0,What other games do you like?
654,मला कराटे एकदम छान येतं,1,I like karate very well
655,चल लग्न करून पळून जाऊया,0,Let&#39;s get married and run away
656,आपण आपलं काम करूया,0,Let&#39;s do our job
657,मी एक केक बेक करू का?,0,May I bake a cake?
658,केक ची चव एकदम सुपर आहे,1,The taste of the cake is super super
659,बघ निसर्ग किती सुंदर आहे,1,See how beautiful nature is
660,बघ पोरी किती सुंदर आहे,1,See how beautiful Pori is
661,बघ ती किती सुंदर आहे,1,Look how beautiful she is
662,मी हे इथे ठेऊ का?,0,Should I put it here?
663,मला थोडासा आराम करायचा आहे,0,I want to relax a bit
664,माझे कुत्रे एकदम शुद्ध आहे,0,My dogs are very clean
665,माझे कान वाजताय,0,My ears are still
666,माझे वडील फार उंच आहे,0,My father is very tall
667,माझे हाथ बांधले आहे,0,My hand is tied
668,तुझ्याशिवाय मन नाही रमत,0,Without you there is no mind
669,काय करू मी यार?,0,What do i do
670,आता हे होणे शक्य नाही,0,It can&#39;t happen now
671,तुझ्यासाठी मी चंद्र तोडून आणेन,0,I will break the moon for you
672,ती गाणं गायला लागली,0,She began to sing
673,ती घाणेरडं गाणं गायला लागली,-1,She began to sing dirty songs
674,ती सुंदर गाणं गाऊ लागली,1,She began to sing beautiful songs
675,तो खूप उंच उडी मारतो,1,He jumps very high
676,ती खूप उंच उडी मारते,1,She jumps very high
677,तो मला थांबवतोय,0,He&#39;s stopping me
678,ती मला थांबवतेय,0,She&#39;s stopping me
679,तो जास्त लांब नाही जाऊ शकत,0,He can&#39;t go too far
680,ती जास्त लांब जाऊ शकते,0,It can go a long way
681,तिच्याकडे फोटो आहे,0,She has a photo
682,त्याच्याकडे फोटो आहे,0,He has a photo
683,तिचे डोळे निळे आहे,0,Her eyes are blue
684,त्याचे डोळे काळे आहे,0,His eyes are black
685,ती रडायला सुरू करेल,-1,She will start to cry
686,तो रडायला सुरू करेल,-1,He would start crying
687,ती खूप आकर्षक आहे,1,She is very attractive
688,तो खूप आकर्षक आहे,1,He is very attractive
689,तो तिचा मित्र आहे,0,He is her friend
690,ती त्याची मैत्रीण आहे,0,She is his girlfriend
691,तिने आजुबाजुला बघितलं,0,She looked around
692,त्याने तिच्याकडे दगड फेकला,-1,He threw stones at her
693,तिने माझी हजामत केली,-1,She shaves me
694,तू मला सांगितलं नाहीस,0,You didn&#39;t tell me
695,तिने मला सांगितलं नाही,0,She didn&#39;t tell me
696,तिला जर्मन बोलता येते,1,She can speak German
697,त्याला जर्मन बोलता येते,1,He can speak German
698,ती त्याला घेऊन घरी गेली,0,She took him and went home
699,तो तिला घेऊन घरी गेला,0,He took her and went home
700,मला त्यांचा फोटो दाखव,0,Show me a photo of them
701,ते सुंदर फोटो कुठे आहेत?,0,Where are those beautiful photos?
702,ह्या फुलाचा वास घे,0,Smell this flower
703,आत कोणीतरी आहे,0,There&#39;s somebody inside
704,कोणीतरी बोलत आहे,0,Someone is talking
705,माझ्यापासून लांब रहा,0,Stay away from me
706,मला छेडू नकोस,-1,Don&#39;t touch me
707,मला ते आवडत नाही,-1,I don&#39;t like it
708,किती विचित्र आहे ना?,0,How strange is it?
709,तू खोटारडी निघशिल असं वाटलं नव्हतं,-1,You didn&#39;t think you were a liar
710,तू खोटारडा निघशील असं वाटलं नव्हतं,-1,You didn&#39;t think you would be a liar
711,मला आता खरं खरं सांग,0,Tell me the real truth now
712,काळजी केल्याबद्दल धन्यवाद,1,Thanks for worrying
713,तो मुलगा हुशार आहे,1,That boy is smart
714,ती मुलगी हुशार आहे,1,That girl is smart
715,चतुराई एक कला आहे,1,Cleverness is an art
716,खेळ फार मजेदार होता,1,The game was very fun
717,तो बंगला किती मोठा आहे,1,How big is that bungalow
718,ती झोपडी किती लहान आहे,-1,How small is that hut
719,ही जमीन थंड आहे,0,This land is cold
720,हे सरबत थंड आहे,0,This syrup is cold
721,हा चहा किती गरम आहे,0,How hot is this tea
722,ती त्याची बायको आहे,0,She is his wife
723,तो तिचा नवरा आहे,0,He is her husband
724,तिने घंटी वाजवली,0,She rang the bell
725,तो नेहमी खरं बोलतो,1,He always speaks the truth
726,ती नेहमी खोटं बोलते,-1,She always lies
727,ते परत नाही घडणार,0,It&#39;s not going to happen back then
728,तो माझा जिवलग मित्र आहे,1,He is my best friend
729,ती माझी जिवलग मैत्रीण आहे,1,She is my best friend
730,ती त्याची शत्रू आहे,-1,She is his enemy
731,तो तिचा शत्रू आहे,-1,He is her enemy
732,तो सगळ्यांचा शत्रू आहे,-1,He is the enemy of all
733,तो कोणालाच आवडत नाही,-1,He does not like anyone
734,ती कोणालाच आवडत नाही,-1,She does not like anyone
735,ती सगळ्यांना शिवी देते,-1,She gives it to everyone
736,तो मुलगा दमलेला,0,The boy fainted
737,ती मुलगी दमलेली,0,The girl fainted
738,ती त्याला चावली,1,She bites him
739,तो तिला चावला,-1,He bites her
740,कॉफी फारच गरम होती म्हणून सांडली,-1,The coffee was too hot to handle
741,कॉफी एकदम भंगार होती म्हणून टाकून दिली,-1,Coffee was ruined because it was a waste
742,चेक बाऊन्स झाला ना,-1,Check bounce didn&#39;t happen
743,बँकेत पैसेच नाहीयेत तर काय होणार?,-1,What if there is no money in the bank?
744,आता मी कुठून आणू पैसे?,0,Where do I bring the money from?
745,मला काम धंदा नाहीये ना,-1,I have no business
746,इतका मोठा मार्केट कुठे आहे?,0,Where&#39;s the big market?
747,मला काय माहीत.. तू तुझं बघ,0,What do I know .. look at you
748,दुखणं आहे का गेलं?,0,Is it sad
749,मला फार त्रास होतोय या सगळ्यांचा ,-1,I&#39;m having a lot of trouble
750,माझं डोकं दुखायला लागलंय तुझ्यामुळे,-1,My head is hurting because of you
751,तुला कितीही समजावलं तरी तू बिंडोकच राहणार,-1,"No matter how much you understand, you will remain blind"
752,हा फोन किती स्वस्त आहे,1,How cheap this phone is
753,इथे भाडे किती कमी आहे,1,Here&#39;s how low the fare is
754,ही अफवा कोणी पसरवली?,0,Who spread the rumor?
755,सूर्य एक तारा आहे,0,The sun is a star
756,तारा आणि सितारा माझे मुले आहे,0,The star and the star are my children
757,तारा वाया गेलेली मुलगी आहे,-1,Tara is a lost girl
758,टाकी रिकामी कोणी केली?,0,Who emptied the tank?
759,पाण्याची टाकी तू भरलीस का?,0,Have you filled the water tank?
760,पाणी किती गढूळ आहे!,-1,How dirty the water is!
761,हे पाणी विषारी आहे,-1,This water is poisonous
762,ही पण नालायक आहे,-1,It is also worthless
763,पाणी खूप गरम आहे,-1,The water is very hot
764,मी नाही करणार अंघोळ,-1,I&#39;m not going to bathe
765,मला घाणेरडं राहायला आवडतं,-1,I like to stay dirty
766,मी दिवाळी साजरी करणार,1,I will celebrate Diwali
767,पोल्युशन नाही केलं पाहिजे आपण,1,You should not have pollution
768,कचरा देखील नाही टाकला पाहिजे,1,Garbage should also not be dumped
769,स्वच्छ भारत अभियान चांगली स्कीम आहे,1,Swachh Bharat Abhiyan is a good scheme
770,मोदी आपला प्रधान मंत्री आहे,0,Modi is your Prime Minister
771,आम्ही सगळे गावी जातोय,0,We are all going to the village
772,मला केळ आवडतं,1,I like banana
773,तिला केळ आवडतं,1,She likes bananas
774,फळं हेल्थ साठी चांगले असतात,1,Fruits are good for health
775,ताज्या ताज्या भाज्या खाल्ल्या पाहिजे,1,Eat fresh fresh vegetables
776,लादी पुसून काढ,0,Wipe the load
777,तू या घरची नोकर आहेस,-1,You are the servant of this house
778,तू या घरचा नोकर आहेस,1,You are the servant of this house
779,तुझ्यासाठी पोरगी बघितली आहे,0,See the porch for you
780,पोरगी फार सुंदर आहे दिसायला,1,Porgy looks very beautiful
781,तुला नक्की आवडेल ती!,1,You will definitely like it!
782,आता बेकी कोण आहे?,0,Who is Becky now?
783,मला नाही करायचं काही जेवायला,-1,I didn&#39;t want to eat anything
784,चल ना उद्या जाऊया मार्केट ला,0,Let&#39;s not go to the market tomorrow
785,मला फार खरेदी करायची आहे,0,I want to buy a lot
786,ए नाकतोड्या इकडे ये!,-1,"Come here, noses!"
787,तू इथे येतोस का तिथे येऊन तुझी पप्पी घेऊ?,0,Do you come here and take your puppy?
788,ये इथे आणि घे पप्पी!,1,Come here and take puppy!
789,प्लीज मला सोड इथेच,-1,Please leave me here
790,डिव्होर्स हवाय मला,-1,I want divorces
791,मी मही देणार तुला डिव्होर्स,0,I&#39;ll give you a month for divorces
792,तू माझी बायको आहेस ना?,0,Are you my wife
793,हो पण तू माझा नवरा नाहीये,-1,Yes but you are not my husband
794,ए जाऊदे ना आता का चिडतेस?,0,Why are you annoyed now?
795,मग काय नाचू तुझ्यासाठी?,0,So what will you dance for?
796,जा आणि जेवण घेऊन ये,0,Go and have a meal
797,हो! तुझ्यासाठी एकदम भारी जेवण आणतो,1,Yes! Bring you a very heavy meal
798,तू फक्त चिडू नकोस!,0,You just don&#39;t yell!
799,रात्री खेळ खेळूया का?,0,Shall we play games at night?
